,user_id,follow_count,fans_count,gender,location,level,regis_year,regis_month,regis_day,properties,mileage,car_like,excellent_post_count,all_post_count,label
0,oden123,0,0,2,1,1,2018,3,3,1,4430.0,1,0,0,True
1,生活1934626,2,4,2,2,1,2012,5,5,1,4270.0,2,0,0,True
2,wangzi1125,0,1,2,3,1,2017,6,6,1,2090.0,3,0,1,True
3,房产专家谢广财,3,2,2,4,1,2014,2,2,1,1120.0,4,0,0,True
4,南宫晗笑,4,5,2,5,1,2017,7,7,1,740.0,1,0,14,True
5,欧佳数码科技,91,75,2,6,1,2014,3,3,1,2600.0,5,0,23,True
6,阿benjamin,0,4,2,7,1,2017,2,2,1,2780.0,6,0,0,True
7,峰子88520,9,15,2,8,1,2013,10,10,1,1460.0,5,0,9,True
8,Zhou19930228,4,9,2,9,1,2017,10,10,1,3260.0,5,0,4,True
9,九品小草民,0,4,2,10,1,2016,7,7,1,2920.0,1,0,0,True
10,一只小豹子,8,33,2,11,1,2017,12,12,1,5000.0,5,0,1,True
11,买得起的都看不上,0,1,2,12,1,2017,10,10,1,240.0,7,0,1,True
12,胖蜀黍Zzzzz,11,11,2,13,1,2015,9,9,1,3300.0,5,0,7,True
13,女王大人的王子,1,1,2,14,1,2016,5,5,1,4700.0,8,0,0,True
14,黄宗华,1,2,2,7,1,2011,3,3,1,2810.0,5,0,0,True
15,Skytianze,24,31,2,15,2,2013,9,9,1,8570.0,9,1,26,True
16,致命诱惑009,0,2,2,10,1,2013,4,4,1,560.0,10,0,1,True
17,5188888888888,0,1,2,16,1,2016,2,2,1,2060.0,11,0,0,True
18,老夫聊发中年狂,0,1,2,5,1,2017,11,11,1,1810.0,3,0,0,True
19,忆晋,0,5,2,17,1,2016,6,6,1,3470.0,5,0,0,True
20,路人懵懂,1,2,2,18,1,2017,12,12,1,1110.0,12,0,3,True
21,dines123,1,8,2,15,1,2017,11,11,1,820.0,5,0,2,True
22,俞健的俞,2,1,2,19,1,2015,8,8,1,5290.0,13,0,0,True
23,仁川的车库,0,3,2,20,1,2016,1,1,1,2860.0,14,0,2,True
24,福硕光电,0,0,2,21,1,2017,10,10,1,1800.0,15,0,0,True
25,brucebee1984,4,8,2,4,1,2014,2,2,1,670.0,16,0,3,True
26,善良的猴子425,3,3,2,5,2,2017,10,10,1,12520.0,17,0,6,True
